Source,Name,Description
First Nature,Amanita muscaria,"The Fly Agaric,, is a hallucinogen and  must be considered poisonous.
    These attractive fungi often appear in groups and are a common sight in all kinds of woodlands."
Wikipedia,Amanita muscaria,", commonly known as the fly agaric or fly amanita, is a basidiomycete of the genus Amanita. It is a large white-gilled, white-spotted, and usually red mushroom.
Despite its easily distinguishable features, A. muscaria is a fungus with several known variations, or subspecies. These subspecies are slightly different, some having yellow or white caps, but are all usually called fly agarics, most often recognizable by their notable white spots. Recent DNA fungi research, however, has"
Wikipedia,Artomyces pyxidatus,"is a coral fungus that is commonly called crown coral or crown-tipped coral fungus. Its most characteristic feature is the crown-like shape of the tips of its branches. The epithet pyxidatus means ""box-like""—a reference to this shape."
Mushroom Expert,Artomyces pyxidatus,"Ecology:Saprobic; growing alone or gregariously on the dead wood of hardwoods (especially the wood ofaspens,tulip trees, willows, and maples); spring, summer, and fall; widely distributed in eastern North America, the Rocky Mountains, and Mexico, but absent or rare on the West Coast.
Fruiting Body: 4-13 cm high; 2-10 cm wide; repeatedly branched.
Branches: 1-5 mm thick; smooth; whitish to pale yellowish at first, sometimes darkening to pale tan or developing pinkish hues; tips crowned with a sha"
Wikipedia,Auricularia fuscosuccinea,is a species of edible Auriculariales fungus. It was first described scientifically in 1842 by French mycologist Camille Montagne as a species of Exidia. Paul Christoph Hennings transferred it to Auricularia in 1893.
First Nature,Auricularia mesenterica,"is mainly seen in summer and autumn. It occurs most commonly on dead elm trees and on
    fallen elm trunks and branches, and so was particularly common after Dutch elm disease had ravaged the elms of Britain and Europe during the second half of the 20th century."
Wikipedia,Auricularia mesenterica,", commonly known as the tripe fungus, is a species of fungus in the family Auriculariaceae. Basidiocarps (fruit bodies) are gelatinous and typically formed in coalescing tiers on stumps and logs. They are partly pileate, with hirsute, zoned caps, and partly resupinate, with smooth to wrinkled undersurfaces that spread over the wood.  is a saprotroph on dead deciduous trees and shrubs. The species is restricted to Europe and Central Asia."
First Nature,Calocera cornea,"This unbranching (or only very rarely branching) jelly fungus, with tiny fruitbodies usually shorter than the thickness of a finger, can be seen on trunks and  twigs of deciduous broadleaf trees."
Wikipedia,Calocera cornea,"is a jelly fungus that grows on decaying wood. It is a member of the Dacrymycetales, an order of fungi characterized by their unique ""tuning fork"" basidia.
Its yellow, finger-like, tapering basidiocarps are somewhat gelatinous in texture. In typical specimens the basidiocarps become up to 3 mm in diameter, and 2 cm in height. The hymenium covers the sides of the basidiocarps, each basidium producing and forcibly discharging only two basidiospores.
It is inedible. Calocera viscosa"
Mushroom Expert,Calocera cornea,"Ecology:Saprobic; growing scattered to gregariously on the deadwood of hardwoods (especially oaks), usually on sticks up to about 2 inches in diameter; summer and fall; originally described from Germany; widely distributed in Europe, North America, Central America, South America, Asia, and Oceania. The illustrated and described collections are from Illinois and North Carolina.
Fruiting Body: Cylindric, with a rounded to sharpened apex; occasionally shallowly forked near the tip; to about 18 mm h"
Wikipedia,Cantharellus guyanensis,"is a tropical South American species of mushroom-forming fungus in the chanterelle genus (Cantharellus), first described by Camille Montagne from French Guiana in 1854.
It has since also been found in Guyana, Suriname, Venezuela, and Brazil. The fruit bodies have a bright orange cap colour and occur in medium- to large-sized troops. C. guyanensis seems to prefer sand-rich soil and forms ectomycorrhiza with a putatively wide range of host trees and shrubs including Coccolo"
First Nature,Chlorociboria aeruginascens,"The green-stained wood that is evidence of Green Elfcup,Chlorociboria
    aeruginascens, is a common sight, but the fruitbodies are seen only
    infrequently. This mainly winter-fruiting fungus is sometimes referred to as Green Cup fungus."
Wikipedia,Chlorociboria aeruginascens,"is a saprobic species of mushroom, commonly known as the blue stain, green elfcup or the green wood cup because of its characteristic small, green, saucer-shaped fruit bodies. Although the actual fruit bodies are infrequently seen, the green staining of wood caused by the fungus is more prevalent."
Mushroom Expert,Chlorociboria aeruginascens,"Ecology:Saprobicon well-decayed, barkless logs and sticks, including those of both hardwoods and conifers; evident as green-stained wood year-round, but the fruiting bodies typically appear in summer and fall; widely distributed in North America. The illustrated and described collections are from Ohio, Pennsylvania, and Québec.
Fruiting Body: Cup-shaped at first, becoming flattened or disc-shaped; 2-5 mm across; with a tiny stem (1-2 mm long) that may be central or somewhat off-center; upper sur"
Wikipedia,Chlorophyllum molybdites,", commonly known as the green-spored parasol, false parasol, green-spored lepiota and vomiter, is a widespread mushroom. Poisonous and producing severe gastrointestinal symptoms of vomiting and diarrhea, it is commonly confused with the shaggy parasol (Chlorophyllum rhacodes) or shaggy mane (Coprinus comatus), and is the most commonly misidentified poisonous mushroom in North America. Its large size and similarity to the edible parasol mushroom (Macrolepiota procera), as"
Mushroom Expert,Chlorophyllum molybdites,"Ecology:Saprobic; growing alone, scattered, or gregariously in lawns and meadows—often in troops orfairy rings; summer through fall; widely distributed in North America, but more common from the Great Plains eastward. The illustrated and described collections are from Illinois.
Cap: 10–22 cm; convex to spherical when young, becoming broadly convex or nearly flat in age; dry; bald in the button stage, but soon becoming scaly with brown to pinkish brown  or tan scales that are uplifted or flat, an"
Wikipedia,Clathrus columnatus,", commonly known as the column stinkhorn, is a saprobic species of basidiomycete fungus in the family Phallaceae. Similar to other stinkhorn fungi, the fruiting body, known as the receptaculum, starts out as a subterranean ""egg"" form. As the fungus develops, the receptaculum expands and erupts out of the protective volva, ultimately developing into mature structures characterized by two to five long vertical orange or red spongy columns, joined at the apex. The fully grown rec"
Mushroom Expert,Clathrus columnatus,"Ecology:Saprobic; growing alone or gregariously; often near woody debris (sometimes directly from stumps or living trees) in lawns, gardens, cultivated soil, and so on; spring through fall, or over winter in warm climates; distributed in North America from roughly Pennsylvania to the Gulf Coast and Mexico; also found in the Caribbean, Central America, and South America. The illustrated and described collections are from Arkansas, Florida, Illinois, Louisiana, Texas, and Virginia.
Immature Fruiti"
First Nature,Clavaria fragilis,"Simple, unbranched clubs but often in bunches, like eels with their tails twisting upwards as they fight over a morsel buried in a riverbed, White Spindles is the most common of the many fairy clubs and corals that pop up in unimproved grassland. (Their worm-like appearance is reflected in the synonymClavaria vermicularis.)"
Wikipedia,Clavaria fragilis,", commonly known as fairy fingers, white worm coral, or white spindles, is a species of fungus in the family Clavariaceae. It is synonymous with Clavaria vermicularis. The fungus is the type species of the genus Clavaria and is a typical member of the clavarioid or club fungi. It produces tubular, unbranched, white basidiocarps (fruit bodies) that typically grow in clusters. The fruit bodies can reach dimensions of 15 cm (6 in) tall by 0.5 cm (1⁄4 in) thick. There are several si"
First Nature,Clavaria zollingeri,"This beautiful violet coral-like fungus is found only very occasionally. The dichotomously
    branching fruitbodies can be up to 10cm tall and are initially violet but become dull grey-brown when old. It is an inedible species and is so rare that it should not be gathered except for important  research."
Wikipedia,Clavaria zollingeri,", commonly known as the violet coral or the magenta coral, is a widely distributed species of fungus. It produces striking tubular, purple to pinkish-violet fruit bodies that grow up to 10 cm (3.9 in) tall and 7 cm (2.8 in) wide. The extreme tips of the fragile, slender branches are usually rounded and brownish. A typical member of the clavarioid or club fungi,  is saprobic, and so derives nutrients by breaking down organic matter. The fruit bodies are typic"
Mushroom Expert,Clavaria zollingeri,"Ecology:Saprobic; almost always found in moss under hardwoods; growing alone or in groups; summer and fall; eastern North America.
Fruiting Body: 2-10 cm high; individual elements usually sharing a common base, branching frequently or only occasionally, 2-6 mm wide; surface purple to pinkish purple, fading somewhat; tips rounded or irregular; base whitish.
Flesh: Brittle; purplish; thin.
Odor and Taste: Not distinctive or mildly radishlike.
Spore Print: White.
Chemical Reactions: Irons salts neg"
First Nature,Coprinellus disseminatus,"The Fairy Inkcap,, rarely ventures forth alone or even with just a few friends; more often it forms dense masses swarming over rotting tree stumps and roots."
Wikipedia,Coprinellus disseminatus,", formerly known as Coprinus disseminatus and commonly known as the fairy inkcap, fairy bonnet, or trooping crumble cap, is a species of agaric fungus in the family Psathyrellaceae. Unlike most other coprinoid mushrooms, C. disseminatus does not dissolve into black ink (deliquesce) in maturity. The species was given its current name in 1939 by Jakob Emanuel Lange."
Mushroom Expert,Coprinellus disseminatus,"Ecology:Saprobic, growing in clusters, often by the hundreds; on decaying wood, especially near the bases of stumps; spring, summer, and fall; widely distributed in North America.
Cap: Minute to 2 cm; oval when young, expanding to broadly convex or bell-shaped; when young almost white, with a brownish center--or grayish--darkening to grayish or grayish brown with a brownish center, paler towards the margin; smooth, or very finely granular/hairy when young; lined or grooved from the margin nearly"
First Nature,Cordyceps militaris,"The Scarlet Caterpillarclub is found mainly in grassland and on woodland edges but also occasionally pushing up through bare soil during late summer and autumn. Growing on underground pupae of moths, this ascomycete parasitises  its host, turning it into a mushy mess and then pushing up through the turf as a bright orange club. In China related species are highly prized as edible fungi."
Wikipedia,Cordyceps militaris,", commonly known as the caterpillar fungus, is a species of fungus in the family Cordycipitaceae, and the type species of the genus Cordyceps, which consists of hundreds of species. The species was originally described by Carl Linnaeus in 1753 as Clavaria militaris.  parasitizes insects and is used in traditional Chinese medicine and modern pharmaceuticals."
Mushroom Expert,Cordyceps militaris,"Ecology:Parasiticon buried larvae and pupae of insects (primarily moths and butterflies); growing alone or gregariously; summer and fall; widely distributed in North America but apparently more common east of the Rocky Mountains.
Fruiting Body: 2-8 cm long; up to about .5 cm wide; club-shaped, with the top wider than the base; the upper portion orange and pimply, the lower portion smooth and orange to pale orange, often curved; narrowing at the base and arising from the buried pupa or larva; fle"
Wikipedia,Cyptotrama asprata,"(alternatively spelled aspratum), commonly known as the golden-scruffy collybia or spiny woodknight  is a saprobic species of mushroom in the family Physalacriaceae. Widely distributed in tropical regions of the world, it is characterized by the bright orange to yellow cap that in young specimens is covered with tufts of fibrils resembling small spikes. This fungus has had a varied taxonomical history, having been placed in fourteen genera before finally settling in Cyptotrama"
Mushroom Expert,Cyptotrama asprata,"Ecology:Saprobic; growing scattered to gregariously on deadwood of hardwoods or conifers; summer, or over winter in warmer climates; widely distributed in eastern North America, and also reported from Texas and the Southwest. The illustrated and described collections are from Ohio and Québec.
Cap: 9-20 mm; convex, becoming broadly convex or nearly flat; dry; granular dusted when young, remaining granular or becoming nearly bald with age; bright yellow to orangish yellow or dull yellow, darkening"
Wikipedia,Dacryopinax spathularia,"Dacrymyces spathularia is a species of fungus in the family Dacrymycetaceae. Basidiocarps (fruit bodies) are gelatinous, frequently spathulate (spoon-shaped), and grow on wood, mainly in the tropics and subtropics. The fungus is edible and is commercially cultivated for use as an additive in the food industry."
First Nature,Geastrum pectinatum,"The Beaked Earthstar (also referred to in some field guides as the Beret Earthstar) is rarely seen for two reasons: it is rare, and it is very easy to miss because it blends in so well with fallen leaves and other dead vegetation in coniferous or broadleaf woodland, which is where this earthstar generally occurs."
Wikipedia,Geastrum pectinatum,"is an inedible species of mushroom belonging to the earthstar family of fungi. Although young specimens are spherical, fruit body development involves the outer layer of tissue splitting open like a star into 7 to 10 pointed rays that eventually bend back to point downward, revealing a small – 1 to 2.5 cm (1⁄2 to 1 in) broad – spore sac. The spore sac is supported by a small radially wrinkled stalk.  There is a distinct conical opening (peristome) at the top of the spore sac"
First Nature,Geastrum triplex,"Look in woodland for this member of the (hopelessly jumbled,   taxonomically, but useful from an identification point of view) gastromycetes   group of fungi. Collared Earthstars  are most often found under hardwood trees, but we have also found   them in coniferous woodland, particularly with firs and spruces."
Wikipedia,Geastrum triplex,"is a fungus found in the detritus and leaf litter of hardwood forests around the world. It is commonly known as the collared earthstar, the saucered earthstar, or the triple earthstar—and less commonly by the alternative species name Geastrum indicum. It is the largest member of the genus Geastrum (or earthstar fungi) and expanded mature specimens can reach a tip-to-tip length of up to 12 centimeters (4+3⁄4 in).
Immature fruit bodies are spherical—somewhat resembling puffballs w"
Mushroom Expert,Geastrum triplex,"Ecology:Saprobic; growing alone or gregariously under hardwoods; summer and fall (over winter in warmer climates); widely distributed in North America.
Fruiting Body: At first a smooth, egg-shaped ball with a prominent pointed beak, 1-5 cm wide, attached to the substrate by a point at the base; with maturity the outer skin peeling back to form 4-8 more or less triangular, buff colored, non-hygroscopic arms that are thick and usually develop fissures and cracks, frequently splitting to form a sau"
Wikipedia,Hexagonia hydnoides,", also known as the hairy hexagonia, is a widely distributed species of bracket fungus in the Polyporaceae family. The name comes from the species' distinctive dark hairy bristles found on the cap - hydnoides meaning 'relating to Hydnum,' a genus of toothed fungi. In general, it is known to grow in tropical regions across the globe and to grow on dead wood tissues, particularly that of hardwoods. It is a plant pathogen. This fungus is largely saprophytic, decaying dead wood ti"
Mushroom Expert,Hexagonia hydnoides,"Ecology:Saprobic; growing alone or gregariously on the deadwood of hardwoods; causing a white rot; appearing year-round; widely distributed from the southern United States through South America. The illustrated and described collection is from southern Missouri.
Cap: 5–10 cm across; 4–7 cm deep; thin; irregularly semicircular; convex or nearly flat; densely hairy with dark brown to black hairs (but reportedly sometimes losing the hairs and becoming more or less bald with old age); faintly zoned,"
First Nature,Hypholoma fasciculare,"From April through to the first heavy frosts, a walk in mixed woodland rarely fails to reveal Sulphur Tufts fruiting on fallen trees, decaying stumps or, occasionally, hollow trunks of living trees."
Wikipedia,Hypholoma fasciculare,", commonly known as the sulphur tuft or clustered woodlover,  is a common woodland mushroom, often in evidence when hardly any other mushrooms are to be found. This saprotrophic small gill fungus grows prolifically in large clumps on stumps, dead roots or rotting trunks of broadleaved trees.
The ""sulphur tuft"" is bitter and poisonous; consuming it can cause vomiting, diarrhea and convulsions. The toxins are steroids known as fasciculols and have been shown to be calmodulin i"
Mushroom Expert,Hypholoma fasciculare,"Ecology:Saprobic; growing in clusters on decaying logs and stumps of conifers and, rarely, hardwoods; fall and winter, sometimes in spring; widely distributed in North America, but more common along the West Coast and in montane or northern areas. The illustrated and described collections are from California, Colorado, and Illinois.
Cap: 2-5 cm; convex, becoming broadly convex or nearly flat; bald; dry; when young often tawny reddish brown or orange, but usually becoming bright yellow to greenis"
Wikipedia,Irpex lacteus,"is a common crust fungus distributed throughout temperate areas of the world. It is the type of the genus Irpex.  is considered a polypore, but depending on growth conditions it can also produce a hydnoid hymenophore. Due to this variability and abundance of the species it has been described as a new species to science numerous times and subsequently has an extensive synonymy. The complete genome sequence of  was reported in 2017.
 is a white-"
Mushroom Expert,Irpex lacteus,"Ecology:Saprobic; spreading across the bottoms and sides of fallen hardwood logs (occasionally on the wood of conifers); annual; causing a white rot of the sapwood and rarely the heartwood; occasionally reported asparasiticon the living wood of cherry trees; appearing year-round; widely distributed in North America but rare or absent in the Southwest.
Fruiting Body: A spreading patch of whitish pore surface with 2-3 pores per mm, soon becoming tooth-like rather than poroid, except near the margi"
First Nature,Kretzschmaria deusta,",commonly called the Brittle Cinder fungus,  is a seriously worrying plant pathogen, as the many articles in forestry publications confirm. This ascomycete causes soft rot by consuming both cellulose and lignin."
Wikipedia,Kretzschmaria deusta,", commonly known as brittle cinder, is a fungus and plant pathogen found in temperate regions."
Mushroom Expert,Kretzschmaria deusta,"Ecology:Saprobicon the living or dead wood of hardwoods; causing a white rot; often found at the bases of trees; spring through fall; common and widely distributed east of the Rocky Mountains. The illustrated and described collections are from Illinois.
Springtime, Asexual Stage: Spreading in patches 2–9 cm across, irregular in outline; surface dull gray and dusty; dust rubbing off easily to expose a brownish, bumpy surface; white and smooth along the margin; 1–2 mm thick; flesh tough, watery wh"
